t_s,v_revs,decel_revs2,sin_angle,cos_angle
12.1,0.14405697063274658,-0.02443048635640821,0.9996600768155544,-0.026071647840515817
12.2,0.14883765243901337,-0.024413930977592223,0.993211949234794,-0.11631863091191001
12.3,0.14898932135260168,-0.02439777016599957,0.9779985149345582,-0.2086118519782583
12.4,0.14892565429676097,-0.008138020833333334,0.9537681898859959,-0.3005432414172559
12.5,0.15374518060063735,2.4462988434947874e-05,0.9209172415291906,-0.38975817406985364
12.6,0.1513671875,-2.4462988434947874e-05,0.8797425928000552,-0.47545028174714166
12.7,0.15380859375,-0.008105436165332474,0.8306189680041863,-0.5568412071602283
12.8,0.1513671875,0.008009933227744645,0.7739826906068317,-0.6332067550500464
12.9,0.1513671875,0.008233523770802739,0.7092771561765834,-0.7049297239626505
13.0,0.14901894645916514,0.016243456998665806,0.6402931964236307,-0.7681306025758965
13.1,0.14891844672934695,0.016547542941343828,0.5657318107836081,-0.8245893027850287
13.2,0.1440434746283259,0.024183357821527807,0.4862102761244903,-0.8738418434653646
13.3,0.14395663218319754,0.040681892238462566,0.40527024305968046,-0.9141969317878657
13.4,0.1416015625,0.03232786033950201,0.3224091440555879,-0.9466004140234374
13.5,0.13427734375,0.03276809439896056,0.24000302244875238,-0.9707721407289476
13.6,0.13185819956305522,0.04064224705366826,0.15733296686942608,-0.9875456128888752
13.7,0.12702348438029532,0.04080251954405867,0.07509430084792117,-0.9971764367353262
13.8,0.12447553182298066,0.04880442869724296,-0.0030785254783182643,-0.9999952613292121
13.9,0.1195724717336688,0.048795804138990206,-0.07968243797143323,-0.9968202992911654
14.0,0.11474609375,0.04877139370300654,-0.1527911031366983,-0.9882585080849396
14.1,0.10986328125,0.04884397609998814,-0.22060793798022552,-0.9753625673051601
14.2,0.10260735358393447,0.0407863950600292,-0.2858880225645745,-0.9582630320293679
14.3,0.10012262162419461,0.04882878725579095,-0.3469818076204949,-0.9378718596804224
14.4,0.09519556929944883,0.048779623866579414,-0.40383845756764947,-0.9148303122379482
14.5,0.09025804924242209,0.05695824484218311,-0.45644898239687065,-0.8897495863830797
14.6,0.08544921875,0.048755965209323904,-0.504863108531275,-0.8631994217121198
14.7,0.08056640625,0.048900284790676096,-0.5478940591730859,-0.8365477272235213
14.8,0.0732421875,0.048828125,-0.5882925473479529,-0.8086481798253531
14.9,0.07080078125,0.05703830562400943,-0.624859488142385,-0.7807372285720956
15.0,0.0634765625,0.05689398604265724,-0.6566505457294196,-0.7541949753168974
